UserId	fear	anger	sad	joy	surprise	disgust	trust	anticipation	positive	negative	#Emo_Categories	label
u148	0.0	0.0246913580247	0.0740740740741	0.641975308642	0.037037037037	0.0	0.037037037037	0.185185185185	0.901234567901	0.0987654320988	6	F
u1489	0.0	0.272727272727	0.0	0.545454545455	0.0454545454545	0.0	0.0454545454545	0.0909090909091	0.727272727273	0.272727272727	5	Male
u295	0.0238095238095	0.0952380952381	0.0714285714286	0.642857142857	0.0	0.0	0.047619047619	0.119047619048	0.809523809524	0.190476190476	6	F
u593	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	1.0	0.0	2	F
u481	0.0555555555556	0.0555555555556	0.0555555555556	0.666666666667	0.0	0.0	0.0	0.166666666667	0.833333333333	0.166666666667	5	F
u544	0.0	0.473684210526	0.175438596491	0.19298245614	0.0175438596491	0.0	0.0350877192982	0.105263157895	0.350877192982	0.649122807018	6	F
u827	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	Male
u504	0.0	0.0588235294118	0.156862745098	0.450980392157	0.0196078431373	0.0196078431373	0.078431372549	0.21568627451	0.764705882353	0.235294117647	7	F
u453	0.0	0.157894736842	0.0	0.736842105263	0.0	0.0	0.0	0.105263157895	0.842105263158	0.157894736842	3	F
u590	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.5	2	F
u1549	0.0	0.0	0.25	0.75	0.0	0.0	0.0	0.0	0.75	0.25	2	Male
u843	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.333333333333	0.333333333333	1.0	0.0	3	Male
u1423	0.0714285714286	0.214285714286	0.0714285714286	0.428571428571	0.0714285714286	0.0	0.0714285714286	0.0714285714286	0.642857142857	0.357142857143	7	Male
u1502	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	Male
u1359	0.0	0.5	0.25	0.25	0.0	0.0	0.0	0.0	0.25	0.75	3	Male
u536	0.0128205128205	0.179487179487	0.0512820512821	0.487179487179	0.0	0.0128205128205	0.115384615385	0.141025641026	0.74358974359	0.25641025641	7	F
u644	0.0	0.0769230769231	0.0769230769231	0.653846153846	0.0	0.0	0.0384615384615	0.153846153846	0.846153846154	0.153846153846	5	F
